单位名称,组织机构代码,层级,地区,电话,详细地址,等级情况,GPS坐标
蒙城县文化馆,661428725,县级,亳州市,0558 7622231,蒙城县中大街,三级馆,"116.565299,33.271957"
涡阳县文化馆,485947365,县级,亳州市,0558 7219398,涡阳县团结路66号,三级馆,"116.222565,33.514621"
利辛县文化馆,TJWHG001X,县级,亳州市,0558 8801626,利辛县文州路,无等级馆,"116.219011,33.156015"
亳州市文化馆,48589227X,市级,亳州市,0558 5552493,亳州市谯城区建安文化广场,无等级馆,"115.782935,33.844145"
九华山文化馆,486480138,县级,池州市,0566 2821845,安徽省池州市九华山风景区柯村新区,三级馆,未知
石台县文化馆,684997891,县级,池州市,0566 6027440,安徽省池州市石台县仁里镇仙寓路2号,无等级馆,"117.493617,30.215649"
贵池区文化馆,486486521,县级,池州市,0566 2616960,安徽省池州市建设中路,无等级馆,"117.491491,30.667309"
青阳县文化馆,48651879X,县级,池州市,0566 5021456,安徽省青阳县蓉城镇蓉溪南路121号文广大厦3楼,二级馆,"117.863832,30.643222"
池州市文化馆,58612021X,市级,池州市,0566 3218098,池州市秋浦东路77号,无等级馆,"117.506127,30.661713"
东至县文化馆,486496025,县级,池州市,0566 7011203,安徽省东至县政务新区文化中心四楼,二级馆,"117.02747,30.101363"
颍泉区文化馆,TJWHG3413,县级,阜阳市,0558 2617068,颍泉区人民西路影院巷,无等级馆,未知
界首市文化馆,485905421,县级,阜阳市,0558 4886730,界首市胜利路,二级馆,"115.398357,33.254432"
阜南县文化馆,TJ6000028,县级,阜阳市,0558 2883889,阜南县地城北路文化大世界院内,无等级馆,未知
太和县文化馆,485937351,县级,阜阳市,0558 8622710,安徽省太和县宜和兴城2号楼,无等级馆,"115.627862,33.171668"
颍东区文化馆,TJYDQWHG2,县级,阜阳市,0558 2316510,阜阳市胜利北路影院巷3号,无等级馆,未知
颍上县文化馆,TJK500001,县级,阜阳市,0558 4410736,安徽省 - 阜阳市 - 颍上县-解放影剧院四楼,无等级馆,未知
颍州区文化馆,485859023,县级,阜阳市,0558 2263167,阜阳市人民路影院巷3号楼,无等级馆,未知
阜阳市文化馆,48585867X,市级,阜阳市,0558 2668136,阜阳市双清路12号人才大市场院内,无等级馆,未知
临泉县文化馆,485924972,县级,阜阳市,0558 6512326,临泉县鲖阳路372,三级馆,"115.273665,33.063253"
合肥市文化馆,485023904,市级,合肥市,0551 62652245,合肥市滨湖新区方兴大道6591号,一级馆,"117.302516,31.733185"
长丰县文化馆,48508810X,县级,合肥市,0551 66661344,安徽省长丰县水湖镇长丰路,三级馆,未知
庐阳区文化馆,485024798,县级,合肥市,0551 62655630,寿春路33号,二级馆,"117.304429,31.87101"
蜀山区文化馆,726321292,县级,合肥市,0551 65128736,"合肥市洪岗路与三郢路交口	",三级馆,"117.250161,31.833981"
庐江县文化馆,486419548,县级,合肥市,0551 82566526,庐江县城东新区晨光路与经四路交叉口,三级馆,未知
肥西县文化馆,TDCA80003,县级,合肥市,0551 68841512,肥西县上派镇古埂公园,三级馆,"117.183038,31.718728"
瑶海区文化馆,48502654X,县级,合肥市,0551 64496328,合肥市郎溪路与长临路交口瑶海区政务服务中心四楼,二级馆,"117.31265,31.871389"
包河区文化馆,485028596,县级,合肥市,0551 63357058,包河工业区纬二路广电大楼,三级馆,未知
肥东县文化馆,485099976,县级,合肥市,0551 67711706,店埠镇唐杨路与包公大道交口文广大厦6楼,三级馆,未知
巢湖市文化馆,TJA5WHG14,县级,合肥市,0551 82314189,巢湖市卧牛路老市委,三级馆,"117.871373,31.604097"
淮北市文化馆,485485228,市级,淮北市,0561 3022853,淮北市博物馆路3号,一级馆,"116.802444,33.958211"
相山区文化馆,TG0000990,县级,淮北市,0561 3192077,相山区政府,三级馆,未知
杜集区文化馆,TJ000006X,县级,淮北市,0561 3092440,淮北市杜集区开渠广场,二级馆,"116.853534,34.00337"
濉溪县文化馆,485540186,县级,淮北市,13635613853,濉溪镇淮海路73号,无等级馆,未知
烈山区文化馆,TJ0000027,县级,淮北市,0561 4685418,烈山区工人村,无等级馆,"116.819531,33.894568"
凤台县文化馆,48539617X,县级,淮南市,0554 8611044,凤台县城关镇中山大道,三级馆,未知
大通区文化馆,485341275,县级,淮南市,0554 2519389,大通区居仁村大二小后楼,无等级馆,"117.05235,32.635905"
田家庵区文化馆,769033418,县级,淮南市,0554 2674553,泉山中路167号,无等级馆,"116.981615,32.637368"
谢家集区文化馆,485363394,县级,淮南市,0554 5677506,谢家集区唐山路15号,一级馆,"116.87296,32.60197"
八公山区文化馆,TJWJBQ015,县级,淮南市,0554 5617170,八公山区老火车站,无等级馆,"116.830057,32.637092"
潘集区文化馆,485386887,县级,淮南市,0554 4985158,潘集区政务新区,无等级馆,"116.843095,32.778195"
淮南市文化馆,485319887,市级,淮南市,0554 3644083,淮南市淮舜北路70号,无等级馆,"117.03095,32.668065"
毛集实验区文化馆,TJWJMJ016,县级,淮南市,0554 8272572,毛集实验区毛集镇五楼,二级馆,未知
寿县文化馆,486232505,县级,淮南市,0564 4022130,安徽省淮南市寿县寿春镇西街64号,三级馆,未知
黄山区文化馆,485793693,县级,黄山市,0559 8510832,黄山市黄山区文化馆,三级馆,"118.148454,30.302058"
徽州区文化馆,485803302,县级,黄山市,0559 3514635,黄山市徽州区环城北路31号,二级馆,"118.344417,29.838115"
屯溪区文化馆,485781406,县级,黄山市,0559 2153114,安徽省黄山市屯溪区北海路147号,一级馆,"118.339354,29.727761"
祁门县文化馆,485847276,县级,黄山市,0559 4512288,祁门县文化活动中心二楼,三级馆,"117.720825,29.855993"
黄山市文化馆,485759532,市级,黄山市,0559 2513598,黄山市屯溪区徽山路24号,二级馆,"118.324151,29.724344"
歙县文化馆,485814378,县级,黄山市,0559 6536055,歙县徽城镇城东路53号,一级馆,"118.448445,29.87169"
休宁县文化馆,F1271953X,县级,黄山市,0559 7512021,休宁县海阳镇万宁街状元阁东广场,三级馆,"118.192928,29.790409"
黟县文化馆,766899355,县级,黄山市,0559 5522248,县城北街15号,二级馆,"117.946643,29.93227"
金安区文化馆,725531044,县级,六安市,0564 3312623,六安市人民路44号,无等级馆,未知
裕安区文化馆,486210541,县级,六安市,0564 3219790,六安市月亮岛小区1号商铺,无等级馆,"116.492178,31.763352"
霍邱县文化馆,LA2213375,县级,六安市,0564 6080313,霍邱县城关镇师部社区,无等级馆,"116.282674,32.35731"
舒城县文化馆,486255010,县级,六安市,0564 8627171,舒城县城关镇文化广场龙舒路35号,无等级馆,未知
金寨县文化馆,F15119695,县级,六安市,0564 7359870,安徽省金寨县梅山镇史河路,三级馆,未知
霍山县文化馆,486276786,县级,六安市,0564 5022088,霍山县老干局5楼,三级馆,未知
叶集区文化馆,341504039,县级,六安市,0564 6550700,六安市叶集区文化广播电视中心,无等级馆,未知
含山县文化馆,486441024,县级,马鞍山市,0565 4312446,环峰镇环峰北路108号,一级馆,"118.11526,31.727647"
马鞍山市文化馆,485408097,市级,马鞍山市,0555 2400207,马鞍山市解放路6号,一级馆,"118.513076,31.704828"
当涂县文化馆,48547465X,县级,马鞍山市,0555 2913138,当涂县姑孰镇振兴路,一级馆,"118.506639,31.569945"
花山区文化馆,485409620,县级,马鞍山市,0555 2472800,马鞍山市花山区竹园路,一级馆,未知
雨山区文化馆,850660363,县级,马鞍山市,0555 2218756,马鞍山市育才路2号,一级馆,"118.496956,31.679686"
和县文化馆,774988577,县级,马鞍山市,0555 5312281,和县陋室西街328号,一级馆,"118.371846,31.72224"
繁昌县文化馆,485199176,县级,芜湖市,0553 7872751,繁阳镇华阳东路66号,一级馆,"118.220021,31.098701"
南陵县文化馆,485209282,县级,芜湖市,0553 6816844,安徽省芜湖市南陵县陵阳中路,二级馆,"118.348885,30.92692"
芜湖市文化馆,485124633,市级,芜湖市,0553 5017372,银湖中路42号,一级馆,"118.3817,31.360741"
鸠江区文化馆,48512262X,县级,芜湖市,0553 5864843,九华山北路789号,二级馆,"118.415196,31.376526"
无为县文化馆,486434334,县级,芜湖市,0553 6322733,无为县南大街73号,三级馆,"117.92368,31.300294"
弋江区文化馆,ZJ0001218,县级,芜湖市,0553 4115278,安徽省芜湖市弋江区南瑞新城金坤园小区内,二级馆,"118.398702,31.310479"
镜湖区文化馆,485123489,县级,芜湖市,0553 3870687,镜湖绿地世纪城镜湖区文体活动中心----文化馆,一级馆,"118.414884,31.335512"
芜湖县文化馆,752960450,县级,芜湖市,0553 8811227,安徽省芜湖县文教园区南湖路,一级馆,"118.585732,31.133439"
琅琊区文化馆,698984573,县级,滁州市,0550 2181608,滁州市清流中路1168号,三级馆,"118.355826,32.311728"
天长市文化馆,486122955,县级,滁州市,0550 7021135,建设西路85号,无等级馆,"119.007288,32.695331"
南谯区文化馆,564967858,县级,滁州市,0550 2187563,南谯区乌衣镇南谯政务新区,无等级馆,"118.42631,32.202959"
来安县文化馆,486133486,县级,滁州市,0550 5612725,来安县鼓楼东街2号,三级馆,"118.441489,32.455835"
全椒县文化馆,486145815,县级,滁州市,0550 5011339,全椒县太平文化广场襄园,一级馆,未知
定远县文化馆,486155167,县级,滁州市,0550 4022215,定城镇东大街291号,二级馆,"117.68916,32.529743"
明光市文化馆,486177657,县级,滁州市,0550 8133357,车站路525号,无等级馆,未知
滁州市文化馆,790119638,市级,滁州市,0550 3049546,滁州市清流中路1170号,无等级馆,"118.35736,32.311931"
凤阳县文化馆,486166392,县级,滁州市,0550 6730171,凤阳县府城镇尚贤南路,二级馆,"117.56721,32.873429"
灵璧县文化馆,F14041478,县级,宿州市,0557 6022822,灵璧县老一中院内,无等级馆,未知
萧县文化馆,486047262,县级,宿州市,0557 5023821,皖萧县龙城镇淮海路97号,三级馆,"116.956036,34.189699"
萧县曲艺馆,3196299,县级,宿州市,0557 5035779,萧县龙城镇淮海路中段,无等级馆,未知
泗县文化馆,486078288,县级,宿州市,0557 2298658,泗县泗城镇公交公司1、6文化馆,一级馆,未知
埇桥区文化馆,486023869,县级,宿州市,0557 3036000,胜利路长城宾馆东侧,无等级馆,"116.984759,33.645789"
砀山县文化馆,486034568,县级,宿州市,0557 8022157,砀城镇体育巷12号,无等级馆,未知
宿州市文化馆,3187480,市级,宿州市,0557 3156211,宿州市人民路与胜利路交叉口,无等级馆,"116.970839,33.648084"
宣城市文化馆,556330531,市级,宣城市,0563 3025876,宣城市区昭亭广场旁,一级馆,"118.753107,30.964804"
泾县文化馆,486353091,县级,宣城市,0563 5022141,泾县云岭路,三级馆,"118.412404,30.693962"
宣州区文化馆,486309197,县级,宣城市,0563 2025012,宣城市南市路,二级馆,"118.772367,30.954322"
郎溪县文化馆,486320281,县级,宣城市,0563 7021323,安徽省郎溪县中港路原工商大楼,一级馆,"119.195786,31.134567"
宁国市文化馆,486342050,县级,宣城市,0563 4039653,宁国市滨河路56号,一级馆,"118.9838,30.634892"
旌德县文化馆,486364700,县级,宣城市,0563 8021102,安徽省宣城市旌德县河东南路青少年活动中心三楼,一级馆,未知
广德县文化馆,486331343,县级,宣城市,0563 6022937,广德县老县政府大院内,一级馆,未知
绩溪县文化馆,486375469,县级,宣城市,0563 8162033,绩溪县适之街37号,二级馆,"118.601501,30.077148"
